x,y
66.2,8.847
62.8,-6.805
59.5,-22.02
56.4,-34.16
53.4,-44.25
53.4,-44.25
50.3,-51.5
47.1,-57.1
43.7,-62.76
40.5,-67.86
37,-73.22
33.8,-78.79
30.6,-84.06
27.4,-89.95
24.1,-95.63
20.9,-100.9
17.8,-105
14.8,-108.4
11.8,-112.2
8.69,-114.8
5.49,-117.8
2.17,-121.3
-0.943,-124.6
-4.08,-128.5
-7.15,-131.8
-10.3,-135.7
-13.4,-139.5
-16.4,-143.4
-16.4,-143.4
-19.4,-146.9
-22.4,-151
-25.6,-155.4
-28.9,-159.7
-32.2,-164.1
-35.4,-168.5
-38.7,-172.7
-42.1,-176.3
-45.3,-180.1
-48.6,-184
-51.7,-188.6
-54.7,-192.4
-57.7,-195.9
-60.7,-199.5
-63.9,-202.6
-67.3,-205.1
-70.6,-207.9
-73.5,-211.4
-76.6,-214
-79.7,-215.9
-83,-217.8
-83.2,-187.8
-83.2,-187.8
-80.3,-141.1
-77.8,-110.9
-75.3,-81.15
-72.3,-52.2
-69.3,-27.17
-66.2,-6.355
-62.9,8.706
-59.7,21.65
-56.7,32.76
-53.9,41.41
-50.8,48.28
-47.7,53.78
-44.3,59.08
-41.1,63.17
-37.9,68.07
-34.3,72.08
-31,77.22
-27.7,82.11
-24.4,87
-21.2,91.95
-18.2,96.88
-15.1,101.9
-15.1,101.9
-12,106.5
-8.89,112
-5.84,116.3
-2.74,120.9
0.398,125.9
3.51,130.3
6.62,134.8
9.74,138.7
12.9,143
16.1,146.9
19.1,150.5
22.2,154.6
25.4,157.9
28.8,161.8
32,164.8
35.3,168.6
38.6,171.6
41.9,175
45.2,177.7
48.5,180.5
51.6,183.3
54.5,186.5
54.5,186.5
57.5,188.4
60.8,190.9
64.4,192.8
67.7,195.2
70.9,196.9
74.2,198.7
77.4,199.5
80.7,200.7
81.5,194.6
81.5,178.7
84.9,201.7
88.2,202.2
91.7,202.1
95,201.8
